kartez,Spring_Mean,Spring_SD,Spring_SE,Fall_Mean,Fall_SD,Fall_SE,family,genus,sp_epithet,common_name,Native,PhotoPath,LifeHistory,FunctionalGroup,Isotope_n,Mean_d13C,SD_d13C,Mean_d15N,SD_d15N,Mean_N,SD_N,Iso_tissue
LATR2,1093.4,539.5,139.3,1666.6,572.1,143.0,Zygophyllaceae,Larrea,tridentata,creosote bush,y,C3,Perennial,Shrub,13,-24.6,1.2,7.0,1.9,4.3,1.2,Seed
GUSA2,662.4,664.3,171.5,784.1,969.0,242.2,Asteraceae,Gutierrezia,sarothrae,broom snakeweed,y,C3,Perennial,Shrub,7,-23.7,1.6,2.5,1.7,2.6,1.8,Seed
EPTO,297.1,96.9,25.0,407.4,269.7,67.4,Ephedraceae,Ephedra,torreyana,Torrey's jointfir,y,C3,Perennial,Shrub,4,-23.2,0.4,3.1,1.3,3.9,1.8,Seed
KRLA2,134.8,100.2,25.9,214.1,156.7,39.2,Chenopodiaceae,Krascheninnikovia,lanata,winterfat,y,C3,Perennial,Shrub,8,-27.2,1.8,6.6,1.8,6.0,1.6,Seed
DEPI,20.8,42.5,11.0,0.8,2.7,0.7,Brassicaceae,Descurainia,pinnata,western tansymustard,y,C3,Perennial,Forb,2,-26.3,0.8,5.3,0.6,3.9,0.1,Seed
HODR,9.1,14.9,3.9,14.3,18.7,4.7,Fabaceae,Hoffmannseggia,drepanocarpa,sicklepod holdback,y,C3,Perennial,Forb,4,-25.4,0.3,3.4,0.7,5.0,0.2,Seed
CHCO,7.4,12.8,3.3,7.7,11.7,2.9,Solanaceae,Chamaesaracha,coniodes,gray five eyes,y,C3,Perennial,Forb,4,-27.0,1.0,2.7,1.6,3.8,1.0,Leaves
MAPIP,5.8,9.1,2.4,12.7,21.1,5.3,Asteraceae,Machaeranthera,pinnatifida,lacy tansyaster,y,C3,Perennial,Forb,2,-23.5,0.2,5.1,0.3,2.3,1.0,Seed
CYACF,4.1,6.5,1.7,0.0,0.0,0.0,Apiaceae,Cymopterus,acaulis,Fendler's springparsley,y,C3,Perennial,Forb,3,-28.5,0.3,4.3,0.2,3.3,0.3,Seed
SPPO6,0.8,2.8,0.7,3.1,9.1,2.3,Malvaceae,Sphaeralcea,polychroma,hot springs globemallow,y,C3,Perennial,Forb,6,-23.9,2.3,4.6,0.6,4.4,0.4,Seed
SOEL,0.7,1.6,0.4,5.7,6.3,1.6,Solanaceae,Solanum,elaeagnifolium,silverleaf nightshade,y,C3,Perennial,Forb,5,-26.4,1.2,4.0,0.6,2.4,0.6,Seed
BOER4,1539.8,725.3,187.3,2870.0,934.3,233.6,Poaceae,Bouteloua,eriopoda,black grama,y,C4,Perennial,Grass,16,-14.4,0.2,1.5,1.5,1.5,1.1,Seed
SPCO4,50.8,74.6,19.3,77.5,79.7,19.9,Poaceae,Sporobolus,contractus,spike dropseed,y,C4,Perennial,Grass,3,-13.5,0.1,2.8,1.2,1.2,0.9,Seed
ARPU9,40.6,52.4,13.5,41.8,48.8,12.2,Poaceae,Aristida,purpurea,purple threeawn,y,C4,Perennial,Grass,5,-14.0,0.4,3.0,0.8,2.3,1.0,Seed
PLJA,19.0,13.4,3.5,39.0,19.9,5.0,Poaceae,Pleuraphis,jamesii,James' galleta,y,C4,Perennial,Grass,4,-14.5,0.9,1.7,1.5,2.1,1.3,Seed
SPORO,8.9,18.1,4.7,9.0,14.2,3.5,Poaceae,Sporobolus,NA,dropseed,y,C4,Perennial,Grass,2,-13.8,0.2,2.7,0.2,3.6,0.1,Seed
MUPO2,5.9,17.4,4.5,11.6,25.7,6.4,Poaceae,Muhlenbergia,porteri,bush muhly,y,C4,Perennial,Grass,9,-14.0,0.5,3.7,1.4,2.2,0.7,Seed
SPFL2,5.8,14.9,3.8,11.1,21.9,5.5,Poaceae,Sporobolus,flexuosus,mesa dropseed,y,C4,Perennial,Grass,5,-14.2,0.2,1.6,1.9,2.1,0.8,Seed
SCBR2,1.3,1.1,0.3,4.7,4.3,1.1,Poaceae,Scleropogon,brevifolius,burrograss,y,C4,Perennial,Grass,8,-14.1,0.8,1.7,1.4,2.8,1.8,Seed
SPCR,0.9,2.1,0.5,8.7,9.1,2.3,Poaceae,Sporobolus,cryptandrus,sand dropseed,y,C4,Perennial,Grass,2,-14.3,0.2,3.9,0.2,1.8,1.4,Seed
DAPU7,0.7,1.0,0.3,3.7,6.3,1.6,Poaceae,Dasyochloa,pulchella,low woolygrass,y,C4,Perennial,Grass,9,-14.7,0.4,1.8,1.4,1.8,1.3,Seed
GRCL,151.2,126.5,32.7,48.8,44.8,11.2,Cactaceae,Grusonia,clavata,club cholla,y,CAM,Perennial,Shrub,3,-12.7,0.7,4.9,0.7,1.2,0.6,Seed
STEM,3.6,4.0,1.0,3.4,3.7,0.9,,StachysÂ ,emersonii,,y,C3,Perennial,Forb,,,,,,,,
SEDI3,3.4,5.0,1.3,18.7,24.9,6.2,Nyctaginaceae,Selinocarpus,diffusus,spreading moonpod,y,C3,Perennial,Shrub,,,,,,,,
MELE2,0.9,2.8,0.7,2.5,6.3,1.6,Asteraceae,Melampodium,leucanthum,plains blackfoot,y,C3,Perennial,Forb,,,,,,,,
CRCR3,86.2,54.8,14.1,5.7,2.2,0.6,Boraginaceae,Cryptantha,crassisepala,thicksepal cryptantha,y,C3,Annual,Forb,3,-26.5,1.2,3.3,0.6,4.1,0.4,Seed
LAOCO,30.7,15.1,3.9,8.9,2.2,0.6,Boraginaceae,Lappula,occidentalis,flatspine stickseed,y,C3,Annual,Forb,5,-26.0,0.7,2.9,0.6,2.7,1.8,Seed
PLPA2,20.3,8.6,2.2,0.1,0.0,0.0,Plantaginaceae,Plantago,patagonica,woolly plantain,y,C3,Annual,Forb,3,-24.8,0.2,2.9,0.2,2.9,0.1,Seed
IPPU4,13.3,6.8,1.8,0.1,0.1,0.0,Polemoniaceae,Ipomopsis,pumila,dwarf ipomopsis,y,C3,Annual,Forb,3,-26.0,0.2,0.9,0.6,2.8,0.1,Seed
LIPU4,0.8,0.4,0.1,1.1,0.5,0.1,Linaceae,Linum,puberulum,plains flax,y,C3,Annual,Forb,3,-23.7,0.2,3.4,0.2,3.9,0.1,Seed
EUEX4,0.0,0.0,0.0,17.0,6.1,1.5,Euphorbiaceae,Euphorbia,exstipulata,squareseed spurge,y,C3,Annual,Forb,3,-26.1,0.2,1.7,0.2,3.4,0.4,Seed
SATR12,2.2,0.9,0.2,18.1,9.0,2.2,Chenopodiaceae,Salsola,tragus,prickly Russian thistle,n,C4,Annual,Forb,3,-14.5,0.2,3.4,0.3,1.2,0.1,Seed
CHSES,0.0,0.0,0.0,253.3,105.3,26.3,Euphorbiaceae,Chamaesyce,serpyllifolia,thymeleaf sandmat,y,C4,Annual,Forb,2,-13.8,0.3,1.8,0.2,1.8,0.4,Seed
CHSE7,0.0,0.0,0.0,10.4,6.7,1.7,Euphorbiaceae,Chamaesyce,serrula,sawtooth sandmat,y,C4,Annual,Forb,5,-12.7,0.3,3.2,0.2,3.0,0.4,Seed
BOBA2,0.0,0.0,0.0,11.0,5.3,1.3,Poaceae,Bouteloua,barbata,sixweeks grama,y,C4,Annual,Grass,2,-14.6,0.2,1.3,0.7,0.8,0.1,Leaves
PHCR,1.4,0.5,0.1,0.0,0.0,0.0,Hydrophyllaceae,Phacelia,crenulata,cleafleaf wildheliotrope,y,C3,Annual,Forb,,,,,,,,
CHST8,0.0,0.0,0.0,10.0,3.5,0.9,Euphorbiaceae,Chamaesyce,stictospora,slimseed sandmat,y,C4,Annual,Forb,,,,,,,,
KAPA,0.0,0.0,0.0,197.0,49.9,12.5,Zygophyllaceae,Kallstroemia,parviflora,warty caltrop,y,C4,Annual,Forb,,,,,,,,
MUSQ3,0.0,0.0,0.0,1.6,0.6,0.2,Poaceae,Munroa,squarrosa,false buffalograss,y,C4,Annual,Grass,,,,,,,,
TILA2,0.0,0.0,0.0,3.4,1.1,0.3,Amaranthaceae,Tidestromia,lanuginosa,wooly tidestromia,y,C4,Annual,Forb,,,,,,,,